0.604339
42 46, 0 0, 0.000000e+00 
42 46, 0 1, 0.000000e+00 
42 46, 0 2, 0.000000e+00 
42 46, 0 3, 0.000000e+00 
42 46, 0 4, 0.000000e+00 
42 46, 0 5, 0.000000e+00 
42 46, 0 6, 0.000000e+00 
42 46, 0 7, 0.000000e+00 
42 46, 0 8, 0.000000e+00 
42 46, 0 9, 0.000000e+00 
42 46, 0 10, 0.000000e+00 
42 46, 0 11, 0.000000e+00 
42 46, 0 12, 0.000000e+00 
42 46, 0 13, 0.000000e+00 
42 46, 0 14, 0.000000e+00 
42 46, 0 15, 0.000000e+00 
42 46, 0 16, 0.000000e+00 
42 46, 0 17, 0.000000e+00 
42 46, 0 18, 0.000000e+00 
42 46, 0 19, 0.000000e+00 
42 46, 0 20, 0.000000e+00 
42 46, 0 21, 0.000000e+00 
42 46, 0 22, 0.000000e+00 
42 46, 0 23, 0.000000e+00 
42 46, 0 24, 0.000000e+00 
42 46, 0 25, 0.000000e+00 
42 46, 0 26, 0.000000e+00 
42 46, 0 27, 0.000000e+00 
42 46, 0 28, 0.000000e+00 
42 46, 0 29, 0.000000e+00 
42 46, 0 30, 0.000000e+00 
42 46, 0 31, 0.000000e+00 
42 46, 0 32, 0.000000e+00 
42 46, 0 33, 0.000000e+00 
42 46, 0 34, 0.000000e+00 
42 46, 0 35, 0.000000e+00 
42 46, 0 36, 0.000000e+00 
42 46, 0 37, 0.000000e+00 
42 46, 0 38, 0.000000e+00 
42 46, 0 39, 0.000000e+00 
42 46, 0 40, 0.000000e+00 
42 46, 0 41, 0.000000e+00 
42 46, 0 42, 0.000000e+00 
42 46, 0 43, 0.000000e+00 
42 46, 0 44, 0.000000e+00 
42 46, 0 45, 0.000000e+00 
42 46, 0 46, 0.000000e+00 
42 46, 0 47, 0.000000e+00 
42 46, 0 48, 0.000000e+00 
42 46, 0 49, 0.000000e+00 
42 46, 0 50, 0.000000e+00 
42 46, 0 51, 0.000000e+00 
42 46, 0 52, 0.000000e+00 
42 46, 0 53, 0.000000e+00 
42 46, 0 54, 0.000000e+00 
42 46, 0 55, 0.000000e+00 
42 46, 0 56, 0.000000e+00 
42 46, 0 57, 0.000000e+00 
42 46, 0 58, 0.000000e+00 
42 46, 0 59, 0.000000e+00 
42 46, 0 60, 0.000000e+00 
42 46, 0 61, 0.000000e+00 
42 46, 0 62, 0.000000e+00 
42 46, 0 63, 0.000000e+00 
42 46, 0 64, 0.000000e+00 
42 46, 0 65, 0.000000e+00 
42 46, 0 66, 0.000000e+00 
42 46, 0 67, 0.000000e+00 
42 46, 0 68, 0.000000e+00 
42 46, 0 69, 0.000000e+00 
42 46, 0 70, 0.000000e+00 
42 46, 0 71, 0.000000e+00 
42 46, 0 72, 0.000000e+00 
42 46, 0 73, 0.000000e+00 
42 46, 0 74, 0.000000e+00 
42 46, 0 75, 0.000000e+00 
42 46, 0 76, 0.000000e+00 
42 46, 0 77, 0.000000e+00 
42 46, 0 78, 0.000000e+00 
42 46, 0 79, 0.000000e+00 
42 46, 0 80, 0.000000e+00 
42 46, 0 81, 0.000000e+00 
42 46, 0 82, 0.000000e+00 
42 46, 0 83, 0.000000e+00 
42 46, 0 84, 0.000000e+00 
42 46, 0 85, 0.000000e+00 
42 46, 0 86, 0.000000e+00 
42 46, 0 87, 0.000000e+00 
42 46, 0 88, 0.000000e+00 
42 46, 0 89, 0.000000e+00 
42 46, 0 90, 0.000000e+00 
