0.598984
91 64, 0 0, 0.000000e+00 
91 64, 0 1, 0.000000e+00 
91 64, 0 2, 0.000000e+00 
91 64, 0 3, 0.000000e+00 
91 64, 0 4, 0.000000e+00 
91 64, 0 5, 0.000000e+00 
91 64, 0 6, 0.000000e+00 
91 64, 0 7, 0.000000e+00 
91 64, 0 8, 0.000000e+00 
91 64, 0 9, 0.000000e+00 
91 64, 0 10, 0.000000e+00 
91 64, 0 11, 0.000000e+00 
91 64, 0 12, 0.000000e+00 
91 64, 0 13, 0.000000e+00 
91 64, 0 14, 0.000000e+00 
91 64, 0 15, 0.000000e+00 
91 64, 0 16, 0.000000e+00 
91 64, 0 17, 0.000000e+00 
91 64, 0 18, 0.000000e+00 
91 64, 0 19, 0.000000e+00 
91 64, 0 20, 0.000000e+00 
91 64, 0 21, 0.000000e+00 
91 64, 0 22, 0.000000e+00 
91 64, 0 23, 0.000000e+00 
91 64, 0 24, 0.000000e+00 
91 64, 0 25, 0.000000e+00 
91 64, 0 26, 0.000000e+00 
91 64, 0 27, 0.000000e+00 
91 64, 0 28, 0.000000e+00 
91 64, 0 29, 0.000000e+00 
91 64, 0 30, 0.000000e+00 
91 64, 0 31, 0.000000e+00 
91 64, 0 32, 0.000000e+00 
91 64, 0 33, 0.000000e+00 
91 64, 0 34, 0.000000e+00 
91 64, 0 35, 0.000000e+00 
91 64, 0 36, 0.000000e+00 
91 64, 0 37, 0.000000e+00 
91 64, 0 38, 0.000000e+00 
91 64, 0 39, 0.000000e+00 
91 64, 0 40, 0.000000e+00 
91 64, 0 41, 0.000000e+00 
91 64, 0 42, 0.000000e+00 
91 64, 0 43, 0.000000e+00 
91 64, 0 44, 0.000000e+00 
91 64, 0 45, 0.000000e+00 
91 64, 0 46, 0.000000e+00 
91 64, 0 47, 0.000000e+00 
91 64, 0 48, 0.000000e+00 
91 64, 0 49, 0.000000e+00 
91 64, 0 50, 0.000000e+00 
91 64, 0 51, 0.000000e+00 
91 64, 0 52, 0.000000e+00 
91 64, 0 53, 0.000000e+00 
91 64, 0 54, 0.000000e+00 
91 64, 0 55, 0.000000e+00 
91 64, 0 56, 0.000000e+00 
91 64, 0 57, 0.000000e+00 
91 64, 0 58, 0.000000e+00 
91 64, 0 59, 0.000000e+00 
91 64, 0 60, 0.000000e+00 
91 64, 0 61, 0.000000e+00 
91 64, 0 62, 0.000000e+00 
91 64, 0 63, 0.000000e+00 
91 64, 0 64, 0.000000e+00 
91 64, 0 65, 0.000000e+00 
91 64, 0 66, 0.000000e+00 
91 64, 0 67, 0.000000e+00 
91 64, 0 68, 0.000000e+00 
91 64, 0 69, 0.000000e+00 
91 64, 0 70, 0.000000e+00 
91 64, 0 71, 0.000000e+00 
91 64, 0 72, 0.000000e+00 
91 64, 0 73, 0.000000e+00 
91 64, 0 74, 0.000000e+00 
91 64, 0 75, 0.000000e+00 
91 64, 0 76, 0.000000e+00 
91 64, 0 77, 0.000000e+00 
91 64, 0 78, 0.000000e+00 
91 64, 0 79, 0.000000e+00 
91 64, 0 80, 0.000000e+00 
91 64, 0 81, 0.000000e+00 
91 64, 0 82, 0.000000e+00 
91 64, 0 83, 0.000000e+00 
91 64, 0 84, 0.000000e+00 
91 64, 0 85, 0.000000e+00 
91 64, 0 86, 0.000000e+00 
91 64, 0 87, 0.000000e+00 
91 64, 0 88, 0.000000e+00 
91 64, 0 89, 0.000000e+00 
91 64, 0 90, 0.000000e+00 
91 64, 0 91, 0.000000e+00 
91 64, 0 92, 0.000000e+00 
91 64, 0 93, 0.000000e+00 
91 64, 0 94, 0.000000e+00 
91 64, 0 95, 0.000000e+00 
91 64, 0 96, 0.000000e+00 
91 64, 0 97, 0.000000e+00 
91 64, 0 98, 0.000000e+00 
91 64, 0 99, 0.000000e+00 
91 64, 0 100, 0.000000e+00 
91 64, 0 101, 0.000000e+00 
91 64, 0 102, 0.000000e+00 
91 64, 0 103, 0.000000e+00 
91 64, 0 104, 0.000000e+00 
91 64, 0 105, 0.000000e+00 
91 64, 0 106, 0.000000e+00 
91 64, 0 107, 0.000000e+00 
91 64, 0 108, 0.000000e+00 
91 64, 0 109, 0.000000e+00 
91 64, 0 110, 0.000000e+00 
91 64, 0 111, 0.000000e+00 
91 64, 0 112, 0.000000e+00 
91 64, 0 113, 0.000000e+00 
91 64, 0 114, 0.000000e+00 
91 64, 0 115, 0.000000e+00 
91 64, 0 116, 0.000000e+00 
91 64, 0 117, 0.000000e+00 
91 64, 0 118, 0.000000e+00 
91 64, 0 119, 0.000000e+00 
91 64, 0 120, 0.000000e+00 
91 64, 0 121, 0.000000e+00 
91 64, 0 122, 0.000000e+00 
91 64, 0 123, 0.000000e+00 
91 64, 0 124, 0.000000e+00 
91 64, 0 125, 0.000000e+00 
91 64, 0 126, 0.000000e+00 
91 64, 0 127, 0.000000e+00 
91 64, 0 128, 0.000000e+00 
91 64, 0 129, 0.000000e+00 
91 64, 0 130, 0.000000e+00 
91 64, 0 131, 0.000000e+00 
91 64, 0 132, 0.000000e+00 
91 64, 0 133, 0.000000e+00 
91 64, 0 134, 0.000000e+00 
91 64, 0 135, 0.000000e+00 
91 64, 0 136, 0.000000e+00 
91 64, 0 137, 0.000000e+00 
91 64, 0 138, 0.000000e+00 
91 64, 0 139, 0.000000e+00 
91 64, 0 140, 0.000000e+00 
91 64, 0 141, 0.000000e+00 
91 64, 0 142, 0.000000e+00 
91 64, 0 143, 0.000000e+00 
91 64, 0 144, 0.000000e+00 
91 64, 0 145, 0.000000e+00 
91 64, 0 146, 0.000000e+00 
91 64, 0 147, 0.000000e+00 
91 64, 0 148, 0.000000e+00 
91 64, 0 149, 0.000000e+00 
91 64, 0 150, 0.000000e+00 
91 64, 0 151, 0.000000e+00 
91 64, 0 152, 0.000000e+00 
91 64, 0 153, 0.000000e+00 
91 64, 0 154, 0.000000e+00 
91 64, 0 155, 0.000000e+00 
91 64, 0 156, 0.000000e+00 
91 64, 0 157, 0.000000e+00 
91 64, 0 158, 0.000000e+00 
91 64, 0 159, 0.000000e+00 
91 64, 0 160, 0.000000e+00 
91 64, 0 161, 0.000000e+00 
91 64, 0 162, 0.000000e+00 
91 64, 0 163, 0.000000e+00 
91 64, 0 164, 0.000000e+00 
91 64, 0 165, 0.000000e+00 
91 64, 0 166, 0.000000e+00 
91 64, 0 167, 0.000000e+00 
91 64, 0 168, 0.000000e+00 
91 64, 0 169, 0.000000e+00 
91 64, 0 170, 0.000000e+00 
91 64, 0 171, 0.000000e+00 
91 64, 0 172, 0.000000e+00 
91 64, 0 173, 0.000000e+00 
91 64, 0 174, 0.000000e+00 
91 64, 0 175, 0.000000e+00 
91 64, 0 176, 0.000000e+00 
91 64, 0 177, 0.000000e+00 
91 64, 0 178, 0.000000e+00 
91 64, 0 179, 0.000000e+00 
91 64, 0 180, 0.000000e+00 
91 64, 0 181, 0.000000e+00 
91 64, 0 182, 0.000000e+00 
91 64, 0 183, 0.000000e+00 
91 64, 0 184, 0.000000e+00 
91 64, 0 185, 0.000000e+00 
91 64, 0 186, 0.000000e+00 
91 64, 0 187, 0.000000e+00 
91 64, 0 188, 0.000000e+00 
91 64, 0 189, 0.000000e+00 
91 64, 0 190, 0.000000e+00 
91 64, 0 191, 0.000000e+00 
91 64, 0 192, 0.000000e+00 
91 64, 0 193, 0.000000e+00 
91 64, 0 194, 0.000000e+00 
91 64, 0 195, 0.000000e+00 
91 64, 0 196, 0.000000e+00 
91 64, 0 197, 0.000000e+00 
91 64, 0 198, 0.000000e+00 
91 64, 0 199, 0.000000e+00 
91 64, 1 0, 0.000000e+00 
91 64, 1 1, 0.000000e+00 
91 64, 1 2, 0.000000e+00 
91 64, 1 3, 0.000000e+00 
91 64, 1 4, 0.000000e+00 
91 64, 1 5, 0.000000e+00 
91 64, 1 6, 0.000000e+00 
91 64, 1 7, 0.000000e+00 
91 64, 1 8, 0.000000e+00 
91 64, 1 9, 0.000000e+00 
91 64, 1 10, 0.000000e+00 
91 64, 1 11, 0.000000e+00 
91 64, 1 12, 0.000000e+00 
91 64, 1 13, 0.000000e+00 
91 64, 1 14, 0.000000e+00 
91 64, 1 15, 0.000000e+00 
91 64, 1 16, 0.000000e+00 
91 64, 1 17, 0.000000e+00 
91 64, 1 18, 0.000000e+00 
91 64, 1 19, 0.000000e+00 
91 64, 1 20, 0.000000e+00 
91 64, 1 21, 0.000000e+00 
91 64, 1 22, 0.000000e+00 
91 64, 1 23, 0.000000e+00 
91 64, 1 24, 0.000000e+00 
91 64, 1 25, 0.000000e+00 
91 64, 1 26, 0.000000e+00 
91 64, 1 27, 0.000000e+00 
91 64, 1 28, 0.000000e+00 
91 64, 1 29, 0.000000e+00 
91 64, 1 30, 0.000000e+00 
91 64, 1 31, 0.000000e+00 
91 64, 1 32, 0.000000e+00 
91 64, 1 33, 0.000000e+00 
91 64, 1 34, 0.000000e+00 
91 64, 1 35, 0.000000e+00 
91 64, 1 36, 0.000000e+00 
91 64, 1 37, 0.000000e+00 
91 64, 1 38, 0.000000e+00 
91 64, 1 39, 0.000000e+00 
91 64, 1 40, 0.000000e+00 
91 64, 1 41, 0.000000e+00 
91 64, 1 42, 0.000000e+00 
91 64, 1 43, 0.000000e+00 
91 64, 1 44, 0.000000e+00 
91 64, 1 45, 0.000000e+00 
91 64, 1 46, 0.000000e+00 
91 64, 1 47, 0.000000e+00 
91 64, 1 48, 0.000000e+00 
91 64, 1 49, 0.000000e+00 
91 64, 1 50, 0.000000e+00 
91 64, 1 51, 0.000000e+00 
91 64, 1 52, 0.000000e+00 
91 64, 1 53, 0.000000e+00 
91 64, 1 54, 0.000000e+00 
91 64, 1 55, 0.000000e+00 
91 64, 1 56, 0.000000e+00 
91 64, 1 57, 0.000000e+00 
91 64, 1 58, 0.000000e+00 
91 64, 1 59, 0.000000e+00 
91 64, 1 60, 0.000000e+00 
91 64, 1 61, 0.000000e+00 
91 64, 1 62, 0.000000e+00 
